date,region,min,max
2020-09-05,India_Himachal Pradesh,28,37
2020-09-06,India_Himachal Pradesh,29.6,38.4
2020-09-07,India_Himachal Pradesh,28.1,38.6
2020-09-08,India_Himachal Pradesh,27,35.6
2020-09-09,India_Himachal Pradesh,26.8,35.6
2020-09-10,India_Himachal Pradesh,27,35
2020-09-11,India_Himachal Pradesh,27.6,36.3
2020-09-12,India_Himachal Pradesh,28.5,37.6
2020-09-13,India_Himachal Pradesh,30.8,37.6
2020-08-29,India_Jammu and Kashmir,25.6,34
2020-08-30,India_Jammu and Kashmir,26.9,35.5
2020-08-31,India_Jammu and Kashmir,27.6,35.4
2020-09-01,India_Jammu and Kashmir,26,31.7
2020-09-02,India_Jammu and Kashmir,25,33.4
2020-09-03,India_Jammu and Kashmir,25.6,33.4
2020-09-04,India_Jammu and Kashmir,26.3,34.6
2020-09-05,India_Jammu and Kashmir,26.9,35.1
2020-09-06,India_Jammu and Kashmir,27.6,36.3
2020-09-07,India_Jammu and Kashmir,27.3,35
2020-09-08,India_Jammu and Kashmir,24.5,33.3
2020-09-09,India_Jammu and Kashmir,27,34.1
2020-09-10,India_Jammu and Kashmir,27,34.2
2020-09-11,India_Jammu and Kashmir,27,33.9
2020-09-12,India_Jammu and Kashmir,26.7,33.7
2020-09-13,India_Jammu and Kashmir,28.1,33.6
2020-08-29,India_Jharkhand,13.6,28.2
2020-08-30,India_Jharkhand,13.9,28.9
2020-08-31,India_Jharkhand,14,29.1
2020-09-01,India_Jharkhand,15.9,30.1
2020-09-02,India_Jharkhand,16,30.7
2020-09-03,India_Jharkhand,16.1,30.6
2020-09-04,India_Jharkhand,15.6,30.5
2020-09-05,India_Jharkhand,15.4,30.4
2020-09-06,India_Jharkhand,14.7,30.7
2020-09-07,India_Jharkhand,14.1,30.8
2020-09-08,India_Jharkhand,13.4,26.9
2020-09-09,India_Jharkhand,12.8,25.4
2020-09-10,India_Jharkhand,11.4,24.9
2020-09-11,India_Jharkhand,11.7,24.9
2020-09-12,India_Jharkhand,10.1,24.4
2020-09-13,India_Jharkhand,13.8,25.4
2020-08-29,India_Karnataka,21.3,29.4
2020-08-30,India_Karnataka,21.4,30
2020-08-31,India_Karnataka,21.2,30.8
2020-09-01,India_Karnataka,21.8,30.3
2020-09-02,India_Karnataka,22.9,30.3
2020-09-03,India_Karnataka,22.2,29.9
2020-09-04,India_Karnataka,24,31.5
2020-09-05,India_Karnataka,24.6,31.9
2020-09-06,India_Karnataka,23.1,31.5
2020-09-07,India_Karnataka,21.9,30.4
2020-09-08,India_Karnataka,22.7,28.4
2020-09-09,India_Karnataka,22.3,28.4
2020-09-10,India_Karnataka,21.6,27.7
2020-09-11,India_Karnataka,21.6,27.5
2020-09-12,India_Karnataka,22.1,28.2
2020-09-13,India_Karnataka,22.6,27.9
2020-08-29,India_Kerala,22.3,31.8
2020-08-30,India_Kerala,22.9,32.1
2020-08-31,India_Kerala,22.9,32.8
2020-09-01,India_Kerala,23.8,31.8
2020-09-02,India_Kerala,23.5,34.2
2020-09-03,India_Kerala,23.4,35.5
2020-09-04,India_Kerala,23.1,35.4
2020-09-05,India_Kerala,22.8,32.4
2020-09-06,India_Kerala,22.9,33.2
2020-09-07,India_Kerala,23.4,33
2020-09-08,India_Kerala,22.8,31.1
2020-09-09,India_Kerala,23.4,30.8
2020-09-10,India_Kerala,23,29.3
2020-09-11,India_Kerala,22.2,25.4
2020-09-12,India_Kerala,22.5,26.8
2020-09-13,India_Kerala,22.8,26.4
2020-08-29,India_Ladakh,3.2,12.3
2020-08-30,India_Ladakh,5,13.2
2020-08-31,India_Ladakh,5.5,14.5
2020-09-01,India_Ladakh,6.9,17.6
2020-09-02,India_Ladakh,8,17.9
2020-09-03,India_Ladakh,7.7,16.4
2020-09-04,India_Ladakh,7,15.9
2020-09-05,India_Ladakh,6.4,14.9
2020-09-06,India_Ladakh,6.1,15.3
2020-09-07,India_Ladakh,6,14.8
2020-09-08,India_Ladakh,4.3,13.2
2020-09-09,India_Ladakh,2.5,11.1
2020-09-10,India_Ladakh,1.4,7.6
2020-09-11,India_Ladakh,1.3,8.3
2020-09-12,India_Ladakh,0.7,7.5
2020-09-13,India_Ladakh,4.7,8.5
2020-08-29,India_Lakshadweep,27.4,28.4
