,date,Brazil_nan,Russia_nan,Spain_nan,United States_nan
125,2020-05-26,24512,3807,27117,99239
126,2020-05-27,25598,3968,27117,100744
127,2020-05-28,26754,4142,27119,101937
128,2020-05-29,27878,4374,27121,103113
129,2020-05-30,28834,4555,27125,104054
130,2020-05-31,29314,4693,27127,104659
131,2020-06-01,29937,4849,27127,105430
132,2020-06-02,31199,5031,27127,106461
133,2020-06-03,32548,5208,27128,107444
134,2020-06-04,34021,5376,27133,108479
135,2020-06-05,35026,5520,27134,109449
136,2020-06-06,35930,5717,27135,110124
137,2020-06-07,36455,5851,27136,110575
138,2020-06-08,37134,5963,27136,111068
139,2020-06-09,38406,6134,27136,112014
140,2020-06-10,39680,6350,27136,112935
141,2020-06-11,40919,6522,27136,113823
142,2020-06-12,41828,6705,27136,114669
143,2020-06-13,42720,6819,27136,115436
144,2020-06-14,43332,6938,27136,115732
145,2020-06-15,43959,7081,27136,116127
146,2020-06-16,45241,7274,27136,116963
147,2020-06-17,46510,7468,27136,117717
