,date,Brazil_nan,Russia_nan,Spain_nan,United States_nan
124,2020-05-25,153833,118798,150376,379157
125,2020-05-26,158593,131129,150376,384902
126,2020-05-27,166647,142208,150376,391508
127,2020-05-28,177604,150993,150376,399991
128,2020-05-29,189476,159257,150376,406446
129,2020-05-30,200892,167469,150376,416461
130,2020-05-31,206555,171883,150376,444758
131,2020-06-01,211080,175514,150376,458231
132,2020-06-02,223638,186602,150376,463868
133,2020-06-03,238617,195559,150376,479258
134,2020-06-04,254963,204197,150376,485002
135,2020-06-05,266940,212237,150376,491706
136,2020-06-06,277149,220935,150376,500849
137,2020-06-07,283952,226272,150376,506367
138,2020-06-08,378257,230226,150376,518522
139,2020-06-09,396737,241917,150376,524855
140,2020-06-10,413916,252295,150376,533504
141,2020-06-11,429965,260649,150376,540292
142,2020-06-12,445123,268862,150376,547386
143,2020-06-13,459436,274128,150376,556606
144,2020-06-14,469141,279536,150376,561816
145,2020-06-15,477709,284021,150376,576334
146,2020-06-16,490005,293780,150376,583503
147,2020-06-17,521046,303800,150376,592191
